#Energy [keV]              Counts per [keV-s]              Error
784              8.34579e-05                7.70254e-05
785              7.79599e-05                7.81412e-05
786              1.81927e-05                7.79842e-05
787              -0.000172779                7.30067e-05
788              -7.79768e-05                7.3619e-05
789              -0.000124829                7.38647e-05
790              -1.59274e-06                7.81931e-05
791              -1.99993e-05                7.57254e-05
792              -4.41796e-05                7.49009e-05
793              -5.00823e-05                7.18935e-05
794              3.72917e-05                7.75179e-05
795              -2.06858e-05                7.54616e-05
796              -3.6763e-05                7.64461e-05
797              -0.000112326                7.34463e-05
798              -0.000105865                7.19627e-05
799              -7.7701e-05                7.30566e-05
800              2.38256e-05                7.81874e-05
801              -8.75997e-05                7.64578e-05
802              1.65321e-05                8.40755e-05
803              3.68572e-05                8.86313e-05
804              7.82e-05                9.47462e-05
805              1.65201e-05                8.97391e-05
806              5.00475e-05                8.85085e-05
807              0.000222067                8.87596e-05
808              -4.4872e-05                7.78618e-05
809              -0.000129641                7.52929e-05
810              -6.1219e-05                7.61728e-05
811              -9.82481e-06                7.1717e-05
812              -2.87889e-05                7.36253e-05
813              7.69976e-05                7.84133e-05
814              -0.000121802                7.09988e-05
815              4.27897e-05                7.6393e-05
816              -8.27882e-05                7.50519e-05
817              4.81468e-05                7.7137e-05
818              -0.000109715                7.31371e-05
819              0.000120559                7.50042e-05
820              -0.000102568                7.19249e-05
821              3.50914e-05                7.85921e-05
822              -0.000104498                7.58328e-05
823              1.56992e-06                7.68366e-05
824              3.35834e-05                7.67599e-05
825              3.99087e-05                7.39695e-05
826              -4.18443e-05                7.51485e-05
827              6.62834e-05                7.69429e-05
828              -9.98218e-05                7.30255e-05
829              -5.46179e-05                7.27957e-05
830              0.000168092                7.824e-05
831              0.000101454                7.86788e-05
832              7.42516e-05                7.73893e-05
833              -3.18107e-05                7.31002e-05
834              -5.51695e-05                7.39202e-05
835              7.20279e-06                7.70428e-05
836              -5.61377e-05                7.74533e-05
837              3.23335e-05                8.36756e-05
838              -1.30053e-05                8.26454e-05
839              -0.000105062                8.30663e-05
840              -0.000138307                8.08991e-05
841              -1.60461e-06                8.42531e-05
842              9.12613e-05                9.08736e-05
843              -1.90608e-05                8.75248e-05
844              -5.62905e-05                8.52689e-05
845              -4.94255e-05                8.75765e-05
846              6.5714e-05                8.69588e-05
847              -3.71916e-05                8.48427e-05
848              -6.70106e-05                8.68019e-05
849              -1.56224e-05                8.58359e-05
850              -8.8304e-05                8.53379e-05
851              -0.000121814                7.76226e-05
852              -0.000108488                7.87933e-05
853              1.30996e-05                8.2881e-05
854              -1.38267e-05                8.11512e-05
855              -8.80163e-05                7.88393e-05
856              -8.48086e-08                7.99924e-05
857              -2.27572e-05                8.0989e-05
858              -1.25886e-05                8.03768e-05
859              3.00041e-05                8.04502e-05
860              -9.06235e-07                7.84477e-05
861              -7.67446e-05                7.60716e-05
862              5.76228e-05                7.93955e-05
863              1.50301e-05                7.93211e-05
864              -9.4054e-05                7.46279e-05
865              -2.74159e-05                7.41651e-05
866              7.68568e-05                8.02247e-05
867              -0.000182537                7.4506e-05
868              -0.000101471                7.30441e-05
869              -3.74495e-05                7.61848e-05
870              -9.56684e-06                8.08547e-05
871              -4.92668e-05                7.68482e-05
872              2.94292e-06                7.73539e-05
873              1.7917e-05                7.85113e-05
874              2.28633e-05                7.84593e-05
875              0.000100632                7.71077e-05
876              -8.8556e-05                7.34587e-05
877              1.6409e-05                7.66772e-05
878              -6.2721e-05                7.08904e-05
879              -6.60245e-05                7.43176e-05
880              0.00011492                7.80136e-05
881              1.62682e-05                7.85286e-05
882              7.90571e-05                7.91726e-05
883              -1.65668e-05                7.70309e-05
884              0.000125352                8.30015e-05
885              5.81625e-05                8.43984e-05
886              -6.68578e-05                7.91378e-05
887              -0.000149016                7.63152e-05
888              4.90972e-05                8.30177e-05
889              9.22474e-05                7.90351e-05
890              -0.000138155                7.26146e-05
891              -4.33522e-05                7.32303e-05
892              -9.74805e-05                6.98404e-05
893              3.13949e-05                7.12415e-05
894              -2.64476e-05                7.04673e-05
895              9.5551e-05                7.58215e-05
896              8.20849e-05                7.65058e-05
897              1.43495e-05                7.58929e-05
898              -0.000104217                7.19438e-05
899              3.21871e-06                7.68189e-05
900              -2.27453e-05                7.46646e-05
901              -4.17093e-05                7.64995e-05
902              -0.000102703                7.04863e-05
903              -4.37629e-05                7.23899e-05
904              0.000157923                7.88688e-05
905              -3.19456e-05                7.16853e-05
906              -7.16515e-05                7.07047e-05
907              -2.37076e-05                7.49493e-05
908              0.000213565                8.06083e-05
909              -1.55985e-05                7.34775e-05
910              -3.50544e-06                7.22145e-05
